what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462094917439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1462094922802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1462094923753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1462094927029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1462094928215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462094929946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462094930321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462094945161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462094953242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462094954755
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1462094984503
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1462095006994
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1462095008008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462095012782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095023593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095026027
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1462095028735
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1462095032200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095032247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095035917
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1462095035948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095040706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095045653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095053874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095055871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095060165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095062148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462095066772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095068753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095078716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095079121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095079964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095080463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095081915
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1462095085767
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1462095085860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462095092289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095098567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095104632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462095111546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095112576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095116619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462095124113
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1462095128692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462095134018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462095138479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462095167031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095167905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095174811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095178024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095180816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462095184557
